label,municipality_name,lat,lon,osn_user_count,rsn_population,location_x,location_y
GM0777,Etten-leur,51.57820798714383,4.644977900920486,15010,41520,103551.7842807358,399071.37302844645
GM1722,Ferwerderadiel,53.32243207099503,5.8275557019190956,2956,8838,184343.2882467585,592976.8953969221
GM0070,Franekeradeel,53.19632083095532,5.536271481977583,8209,20592,164962.21412774085,578862.2994528223
GM0653,Gaasterlân-sleat,52.88489511863252,5.556866447415006,3248,10300,166420.2164225961,544208.7920226654
GM0779,Geertruidenberg,51.69717736073052,4.88152403503777,7963,21086,120039.96526864728,412166.410716032
GM0236,Geldermalsen,51.88782372688134,5.220906190643407,9002,26261,143551.5400842966,433268.3966314824
GM1771,Geldrop-mierlo,51.43122211524942,5.58762315767997,12961,38114,168937.66454451834,382476.1377669578
GM1652,Gemert-bakel,51.540752516076836,5.7542670619030085,9276,28770,180464.8826433477,394706.5690967584
GM0907,Gennep,51.69931580564403,5.987115186242079,5175,17150,196472.95344737204,412453.9702906996
GM0689,Giessenlanden,51.872742151369984,4.930049146753329,4516,14449,123517.432697012,431676.3354383018
GM0784,Gilze en rijen,51.55953656815667,4.918542455285366,8992,25959,122500.68458003916,396836.59332503966
GM0511,Goedereede,51.80726528020316,3.967172454467149,3434,11420,57069.06293559722,425248.6752384167
GM0664,Goes,51.51515907268663,3.845059290540708,12706,36608,47960.13519462802,392927.49286508857
GM0785,Goirle,51.51172787753225,5.031807024394005,7632,22756,130329.07472777732,391473.4265737086
GM0512,Gorinchem,51.83845128155111,4.977031285203344,12836,34664,126731.38988211418,427842.0376746111
GM0513,Gouda,52.015273655738596,4.706179790937396,26669,71105,108249.18151901364,447654.1011807375
GM0693,Graafstroom,51.875485743205545,4.800622537001321,2890,9805,114606.85177878985,432045.5357789008
GM0365,Graft-de rijp,52.551551349430255,4.814442558361504,1984,6489,116152.37844681142,507256.5945125124
GM0786,Grave,51.743567535690296,5.743060028781009,4247,12907,179577.07505286633,417266.2761491055
GM0241,Groesbeek,51.78543780663907,5.932649937320493,5592,18920,192635.88611133143,422005.5614697241
GM0014,Groningen,53.22219473079099,6.563465579370126,112654,187282,233561.95681844908,582373.0980298253
GM0015,Grootegast,53.208665248727385,6.273254992676607,3672,12141,214198.20034409,580589.9648148393
GM1729,Gulpen-wittem,50.80233117374518,5.900144190179879,4328,14621,191161.9719364329,312619.5770202914
GM0158,Haaksbergen,52.15553146307706,6.755907294356327,8529,24485,248661.49505376304,463923.6465162125
GM0788,Haaren,51.626016865910174,5.218099323129832,4377,13623,143290.66824392354,404141.7870994328
GM0392,Haarlem,52.383420198192475,4.647539631262471,65201,149596,104641.35472734772,488652.4451925746
GM0393,Haarlemmerliede en spaarnwoude,52.40277641342298,4.712513835515902,481,5362,109084.95870380112,490762.8822356853
GM0394,Haarlemmermeer,52.297216432945135,4.683590121982074,49008,142494,107002.61851782996,479036.9276955718
GM1655,Halderberge,51.590572211632725,4.523121208660974,6816,29298,95121.69429259172,400539.9715154685
GM0160,Hardenberg,52.58564509551706,6.574174203726325,20270,59022,235442.01701619744,511556.6582716343
GM0243,Harderwijk,52.33926389292164,5.655550842721373,16178,44016,173288.25283127796,483516.3379098511
GM0523,Hardinxveld-giessendam,51.832634275522175,4.852239893932625,4794,17500,118126.21775558034,427250.7552989214
GM0017,Haren,53.15455142311658,6.631013014619845,6584,18530,238203.0956311873,574921.7437803646
GM0395,Harenkarspel,52.73592023835919,4.7667397020772855,5200,16087,113092.95622733155,527797.7604442575
GM0072,Harlingen,53.17539050760408,5.451957032930125,6037,15806,159329.4304862095,576524.6157762283
GM0244,Hattem,52.474791376895325,6.053216173670806,3977,11791,200250.71340581577,498770.23285649775
GM0396,Heemskerk,52.51193787525573,4.648300193955711,15179,38862,104839.02029296337,502951.12366008817
GM0397,Heemstede,52.34478124121891,4.615483070991068,6525,26040,102413.11994343848,484376.2268513184
GM0246,Heerde,52.406021579131064,6.050449535110156,6148,18308,200132.8434133173,491116.96104654256
GM0074,Heerenveen,52.975572389945725,6.020853121039053,17130,43418,197563.25176722987,554472.9131819864
GM0398,Heerhugowaard,52.676105352139395,4.844640849904531,19827,51184,118304.47967684244,521099.7659593124
GM0917,Heerlen,50.893417245624356,5.969452761059852,38533,89230,195967.44532516832,322789.2253476825
GM1658,Heeze-leende,51.36076079957521,5.567141724848273,4289,15260,167532.71562947994,374633.5581024106
GM0399,Heiloo,52.599917686742295,4.708605134075004,6363,22448,109024.55517398064,512700.1950836588
GM0163,Hellendoorn,52.38637729665859,6.450991757571578,13259,35781,227420.13642371443,489256.40656763
GM0530,Hellevoetsluis,51.846411755289765,4.137491026937524,16787,39738,68888.89684389933,429387.8957483519
GM0794,Helmond,51.4762011471059,5.657222123502488,33493,88010,173759.12168395787,387495.7097884502
GM0531,Hendrik-ido-ambacht,51.84174465955854,4.638894327639946,8333,26892,103431.515278418,428394.0251853596
GM0164,Hengelo,52.25504095937799,6.778285284644821,30729,80769,249980.33707327556,475022.9126542879
GM0063,Het bildt,53.27963755378405,5.650451177630081,2562,10904,172559.11630619058,588156.4829631905
GM0252,Heumen,51.77787480538238,5.818604962835509,4945,16624,184771.84985502705,421111.29583389714
GM0797,Heusden,51.696705201947665,5.160282600003935,13925,42986,139311.705399573,412016.9310475292
GM0534,Hillegom,52.29680437588185,4.577029807571919,7531,20484,99733.23762811696,479066.971139973
GM0798,Hilvarenbeek,51.479478515956124,5.145455705324246,4665,14972,138206.47759657088,387853.3443512705
GM0402,Hilversum,52.223295761023,5.167947197815381,32999,84580,140018.28195818805,470602.09837685846
GM1735,Hof van twente,52.23639589362282,6.5900008399191705,10648,35290,237159.9458011796,472718.6269097134
GM0118,Hoogeveen,52.72308048753488,6.513579829882166,20620,54795,231097.46853565183,526782.3828645417
GM0018,Hoogezand-sappemeer,53.1473407304386,6.7467514966610835,13460,34751,245959.81846429608,574259.2489498162
GM0405,Hoorn,52.65604715500572,5.0697605465707944,21648,70229,133520.21627717363,518777.34058545646
GM1507,Horst aan de maas,51.44480424114317,6.041610901494792,13926,41464,200494.70128631764,384172.2620454463
GM0321,Houten,52.00410992329337,5.181751680485033,17087,47624,140892.55567275305,446212.8740130677
GM0406,Huizen,52.292291826136086,5.231966826442963,13387,41932,144409.13208700344,478267.4686801162
GM0677,Hulst,51.32158410065368,4.066340977890122,7422,27861,62927.96139104877,371092.82092478935
GM0353,Ijsselstein,52.02765423506122,5.028898081836262,11086,34232,130409.72896430414,448873.0528491532
GM1884,Kaag en braassem,52.192596916285744,4.629036871450339,7896,25625,103159.64988845833,467434.6972436184
GM0166,Kampen,52.55506065044332,5.933030701500634,17344,50052,192017.7165438969,507633.1162809733
GM0678,Kapelle,51.484802758951474,3.967725435090032,3138,12401,56407.82912785544,389377.7391645828
GM0537,Katwijk,52.18964323384608,4.422835341309193,20048,61821,89056.57991827813,467273.46590352594
GM0928,Kerkrade,50.87174705676626,6.0509627791281435,16971,47693,201724.2689155927,320427.3258988272
GM1598,Koggenland,52.644693454375904,4.948213227774893,5545,21974,125288.15773853018,517557.0099191496
GM0079,Kollumerland en nieuwkruisland,53.29749845814291,6.172162955614439,4732,13007,207336.509898976,590397.557405108
GM0588,Korendijk,51.77383324525614,4.329533824160131,3044,10894,82003.44399884096,421103.8293846527
GM0542,Krimpen aan den ijssel,51.91468245835713,4.601971265370466,7998,28808,100974.7260733254,436535.2744336427
GM1659,Laarbeek,51.53089700160714,5.611639243294507,6897,21567,170573.6053945228,393569.9412597029
GM1685,Landerd,51.716650051452916,5.659045952560611,5674,14888,173785.9204258844,414246.5754781117
GM0882,Landgraaf,50.906442404704656,6.033079854208704,12314,38455,200431.3866768112,324275.8081439711
GM0415,Landsmeer,52.45061249534647,4.924597827544062,3299,10236,123551.82962431911,495972.0646380936
GM0416,Langedijk,52.69118297864717,4.789344806120778,8420,26960,114578.54446404745,522806.9410225189
GM1621,Lansingerland,52.00399097089678,4.506115448702246,16348,52587,94500.37236047648,446546.5559015042
GM0417,Laren,52.24720436598007,5.21710359986972,2998,11331,143383.3491903266,473253.2018414541
GM0022,Leek,53.163329786642365,6.3692706058121455,6536,19363,220681.66332421263,575628.1598753071
GM0545,Leerdam,51.90294109675628,5.085934006687722,7088,20745,134266.54779172386,434980.1494420653
GM0080,Leeuwarden,53.1905911646862,5.803535758383545,44326,94073,182827.54973528837,578294.7851973039
GM0081,Leeuwarderadeel,53.26086533107324,5.7794034962197145,3718,10435,181171.9511394619,586106.4767332971
GM0546,Leiden,52.15504535158385,4.485254742215356,52502,117106,93276.8048381501,463369.389487988
GM0547,Leiderdorp,52.156695508723764,4.5420778217218105,8648,26429,97167.39858250684,463506.16867145215
GM1916,Leidschendam-voorburg,52.09037171166013,4.422458693887247,20705,72191,88884.00377272359,456229.53147704864
GM0995,Lelystad,52.477852365575785,5.472157761087954,32507,74619,160771.6084816153,498905.9779814574
GM0082,Lemsterland,52.863860191069335,5.762902167942918,5345,13611,180301.07304760336,541920.4947933105
GM1640,Leudal,51.239427557524316,5.884823311833604,10246,36729,189750.82793439543,361238.223161934
GM0327,Leusden,52.12229354930361,5.416537358400436,11671,28814,157008.9251359585,459342.319105184
GM0694,Liesveld,51.91618042829274,4.836440426881565,2530,9739,117107.61196124987,436553.6839490403
GM0733,Lingewaal,51.847634055186845,5.089189356686906,5112,10892,134465.36983861102,428826.0379135247
GM1705,Lingewaard,51.901466656107,5.942067459796982,14993,45430,193187.145562605,434919.0380117853
GM0553,Lisse,52.25554587563928,4.54580017713956,8301,22295,97549.6772942564,474500.9175758693
GM0808,Lith,51.791709729530126,5.437798365349519,2123,6646,158490.6732058039,422563.3645051864
GM0140,Littenseradiel,53.12527154217231,5.6551638927750325,3404,10926,172937.40322182723,570978.4285228957
